dataset,description,modal,sample_id,natoms,num_edges,num_pairs,avg_neighbors_directed,avg_unique_pairs_per_atom,pair_reuse_factor,reverse_pair_fraction,pbc_dims,cell_volume,atom_density,longest_periodic_length,rank4_local_length_estimate,rank4_boundary_ratio_estimate,num_elements,structure_class,cold_ms__e3nn_baseline,cold_ms__e3nn_pair_full,max_abs_force_diff_vs_e3nn__e3nn_baseline,max_abs_force_diff_vs_e3nn__e3nn_pair_full,resolved_policy__e3nn_baseline,resolved_policy__e3nn_pair_full,steady_median_ms__e3nn_baseline,steady_median_ms__e3nn_pair_full,steady_p95_ms__e3nn_baseline,steady_p95_ms__e3nn_pair_full,steady_speedup_baseline_over_pair,cold_ratio_pair_over_baseline
mptrj_val,MPtrj validation split,mpa,mp-1197409,426,28964,14482,67.9906103286385,33.99530516431925,2.0,1.0,3,5535.091482316863,0.07696349759727658,17.92674002061473,4.4816850051536825,1.0,5,bulk_like,699.4415269582532,773.3640850055963,0.0,2.9802322387695312e-06,baseline,full,696.1453635012731,613.1219475064427,738.4172623511404,759.0507325250655,1.1354109346965728,1.1056879741882344
mptrj_val,MPtrj validation split,mpa,mp-1205212,320,18408,9204,57.525,28.7625,2.0,1.0,3,4789.413357210392,0.06681402838580318,26.243162336394455,6.560790584098614,1.0,2,bulk_like,349.41646800143644,543.8376889796928,0.0,2.425163984298706e-06,baseline,full,515.3394140070304,308.75415552873164,719.3062385020312,328.6940492806025,1.6690930462928608,1.5564168800923746
mptrj_val,MPtrj validation split,mpa,mp-1205237,300,15052,7526,50.17333333333333,25.086666666666666,2.0,1.0,3,5745.386061685849,0.05221581226727382,20.671253204345703,5.167813301086426,1.0,3,bulk_like,303.30439005047083,472.07407199312,0.0,3.665685653686523e-06,baseline,full,282.9520574887283,258.0818235001061,324.47631734539755,279.42981582309585,1.0963656938382256,1.5564366605922366
salex_validation,sAlex validation,mpa,sAlex__agm005259073_2_51__id_482978,168,14816,7408,88.19047619047619,44.095238095238095,2.0,1.0,3,1739.6298853264223,0.09657226598431118,15.16308029001915,3.7907700725047877,1.0,5,bulk_like,299.12276001414284,467.54201501607895,0.0,1.2936070561408997e-06,baseline,full,279.9887180153746,255.16323451302011,321.51811102812644,276.85315934650134,1.0972925568596668,1.5630439321767862
salex_validation,sAlex validation,mpa,sAlex__agm005259073_0_0__id_482977,168,14904,7452,88.71428571428571,44.357142857142854,2.0,1.0,3,1726.4630806386472,0.09730877067921663,15.107684375414086,3.7769210938535216,1.0,5,bulk_like,302.5373889831826,470.88894998887554,0.0,1.3187527656555176e-06,baseline,full,280.90685748611577,256.0046895232517,322.5263571628602,277.61336416879203,1.0972723117269392,1.556465306888238
salex_validation,sAlex validation,mpa,sAlex__agm005273855_0_0__id_484208,156,9268,4634,59.41025641025641,29.705128205128204,2.0,1.0,3,2386.914013405957,0.06535635516144926,20.40062735,5.1001568375,1.0,3,bulk_like,225.81214498495683,350.497038976755,0.0,3.6116689443588257e-06,baseline,full,201.4017779729329,171.8636435107328,247.64247387065552,195.4963191819843,1.171869593002987,1.5521620371663554
omat24_validation,OMat24 rattled-1000-subsampled validation,omat24,OMat24__agm005231400_AB2C5D6_8_spg14_4_0_rattled-1000-subsampled_z8rquh__file_ix_23803,112,5140,2570,45.892857142857146,22.946428571428573,2.0,1.0,3,2185.9491775469446,0.0512363238589497,20.38847176426126,5.097117941065315,1.0,4,bulk_like,168.822415987961,262.9376910044812,0.0,3.0517578125e-05,baseline,full,142.62992300791666,116.5487059915904,192.00899183633737,137.0289124926785,1.2237795503127094,1.5574809154681908
omat24_validation,OMat24 rattled-1000-subsampled validation,omat24,OMat24__agm005231400_AB2C5D6_8_spg14_1_0_rattled-1000-subsampled_i32xdf__file_ix_26036,112,4470,2235,39.910714285714285,19.955357142857142,2.0,1.0,3,2437.9333309654903,0.04594055078431732,20.171424954644106,5.0428562386610265,1.0,4,bulk_like,158.03992102155462,248.31924500176683,0.0,9.1552734375e-05,baseline,full,131.5071654971689,110.05258598015644,181.02823492372409,129.24117546353955,1.1949484360220388,1.571243793319153
omat24_validation,OMat24 rattled-1000-subsampled validation,omat24,OMat24__agm003278654_A6B8C39_0_spg193_4_0_rattled-1000-subsampled_6u1x7v__file_ix_26415,106,3644,1822,34.37735849056604,17.18867924528302,2.0,1.0,3,2732.634403281711,0.03879040674914328,20.588931976570027,5.147232994142507,1.0,3,bulk_like,147.23191899247468,232.6710650231689,0.0,1.1444091796875e-05,baseline,full,119.07206851174124,105.23242151248267,168.81518867157865,122.57637329457792,1.131515048312529,1.5803031476826788
omol25_validation,OMol25 neutral validation,omol25_low,OMol25_neutral_validation_data0020_65,110,3826,1913,34.78181818181818,17.39090909090909,2.0,1.0,0,,,,,,5,molecule_like,148.50088901584968,235.0787770119496,0.0,2.1457672119140625e-06,baseline,full,120.53051247494297,103.858554008184,170.0244100240525,121.9511586270528,1.1605256170372373,1.5830125904960701
omol25_validation,OMol25 neutral validation,omol25_low,OMol25_neutral_validation_data0033_190,110,3090,1545,28.09090909090909,14.045454545454545,2.0,1.0,0,,,,,,6,molecule_like,140.22219204343855,225.20210302900523,0.0,1.6689300537109375e-06,baseline,full,114.11637801211327,101.19520002626814,162.870287935948,119.4227200205205,1.1276856805707294,1.6060375304876227
omol25_validation,OMol25 neutral validation,omol25_low,OMol25_neutral_validation_data0057_281,110,3340,1670,30.363636363636363,15.181818181818182,2.0,1.0,0,,,,,,6,molecule_like,142.13691296754405,229.16284098755568,0.0,1.9073486328125e-06,baseline,full,114.53582299873231,101.675518497359,164.45164821343496,119.56202985020354,1.126483785786717,1.6122683137200495
oc20_val_id,OC20 S2EF in-domain validation,oc20,OC20_S2EF_val_id__file_0049__config_3636,225,15230,7615,67.68888888888888,33.84444444444444,2.0,1.0,3,7725.2418728221055,0.02912530166745515,33.67404733,8.4185118325,1.0,4,surface_like,305.2371210069396,478.6038200254552,0.0,1.9073486328125e-06,baseline,full,285.1094290090259,260.40342697524466,327.1683118218789,282.0139560644748,1.0948758713383981,1.5679738376728238
oc20_val_id,OC20 S2EF in-domain validation,oc20,OC20_S2EF_val_id__file_0190__config_1269,225,15132,7566,67.25333333333333,33.626666666666665,2.0,1.0,3,7725.2418728221055,0.02912530166745515,33.67404733,8.4185118325,1.0,4,surface_like,303.27383801341057,475.3329359809868,0.0,1.922249794006348e-06,baseline,full,284.92171550169587,258.7775445135776,327.63891547801904,279.92051056062337,1.1010295195329305,1.5673390724852696
oc20_val_id,OC20 S2EF in-domain validation,oc20,OC20_S2EF_val_id__file_0032__config_1191,225,15142,7571,67.29777777777778,33.64888888888889,2.0,1.0,3,7725.2418728221055,0.02912530166745515,33.67404733,8.4185118325,1.0,4,surface_like,303.73923399019986,476.8033709842712,0.0,1.7881393432617188e-06,baseline,full,284.3574404541869,258.6982550274115,326.8070064979838,280.19059881044086,1.099185769243231,1.5697786707385166
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_0,200,11704,5852,58.52,29.26,2.0,1.0,3,4993.283246049814,0.040053806312353696,41.581241,10.39531025,1.0,4,surface_like,260.7983080088161,406.5205929800868,0.0,7.62939453125e-06,baseline,full,237.3052460025065,210.5957235035021,282.2739215102047,233.27003952872477,1.1268284182349992,1.5587547177121437
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_1,200,11460,5730,57.3,28.65,2.0,1.0,3,4993.283246049814,0.040053806312353696,41.581241,10.39531025,1.0,4,surface_like,255.29785599792376,399.0996810025536,0.0,2.6702880859375e-05,baseline,full,233.41891201562248,206.78188200690784,278.3755419164663,229.48913582076784,1.1288170402077335,1.5632707898878686
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_3,200,11376,5688,56.88,28.44,2.0,1.0,3,4993.283246049814,0.040053806312353696,41.581241,10.39531025,1.0,4,surface_like,254.37233498087156,397.325298981741,0.0,0.00018310546875,baseline,full,232.39342751912773,205.5697180039715,277.4643371521961,228.5319265240105,1.1304847317766813,1.5619831418051784
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:0,8,208,104,26.0,13.0,2.0,1.0,3,283.78308046480015,0.02819054605685804,6.571464501545973,1.6428661253864933,1.0,2,bulk_like,122.8080700384453,199.46617598179728,0.0,1.0471273981238485e-07,baseline,full,108.29748050309718,98.0376125080511,152.46547596761957,115.81878874567336,1.1046523648686724,1.6242106558579905
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:1,8,640,320,80.0,40.0,2.0,1.0,3,109.32644558721078,0.07317534158392007,4.781620185519071,1.1954050463797679,1.0,2,bulk_like,122.42903199512511,203.1431130017154,0.0,2.150142250911813e-07,baseline,full,108.228171011433,97.96744349296203,152.3927235044539,116.07482383551542,1.1047360955091994,1.6592723939024867
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:2,8,208,104,26.0,13.0,2.0,1.0,3,306.06338948380176,0.026138376149766177,6.739129385060335,1.6847823462650837,1.0,2,bulk_like,121.88820401206613,198.17165995482355,0.0,8.56414104077885e-08,baseline,full,108.64065247005784,98.33262249594554,152.77720283193048,116.90374134923331,1.1048281812532492,1.625847731214465
